business_id,score,date,type,new_date,year
424,90,20170112,routine,2017-01-12,2017
424,86,20171107,routine,2017-11-07,2017
428,98,20171026,routine,2017-10-26,2017
428,96,20160707,routine,2016-07-07,2016
428,100,20150427,routine,2015-04-27,2015
429,87,20160602,routine,2016-06-02,2016
429,82,20150223,routine,2015-02-23,2015
431,92,20160525,routine,2016-05-25,2016
435,92,20161212,routine,2016-12-12,2016
435,92,20151028,routine,2015-10-28,2015
436,87,20161028,routine,2016-10-28,2016
436,79,20160608,routine,2016-06-08,2016
438,90,20160321,routine,2016-03-21,2016
438,89,20150421,routine,2015-04-21,2015
438,84,20171010,routine,2017-10-10,2017
442,86,20160308,routine,2016-03-08,2016
442,90,20180123,routine,2018-01-23,2018
442,83,20170411,routine,2017-04-11,2017
443,94,20171107,routine,2017-11-07,2017
443,92,20160316,routine,2016-03-16,2016
447,87,20150723,routine,2015-07-23,2015
447,96,20160908,routine,2016-09-08,2016
447,96,20171128,routine,2017-11-28,2017
448,88,20170607,routine,2017-06-07,2017
448,84,20151021,routine,2015-10-21,2015
462,94,20160520,routine,2016-05-20,2016
462,98,20170719,routine,2017-07-19,2017
463,88,20160706,routine,2016-07-06,2016
463,85,20150217,routine,2015-02-17,2015
470,87,20160920,routine,2016-09-20,2016
470,94,20150219,routine,2015-02-19,2015
473,94,20160927,routine,2016-09-27,2016
473,87,20150720,routine,2015-07-20,2015
475,90,20161102,routine,2016-11-02,2016
475,90,20151006,routine,2015-10-06,2015
477,88,20160406,routine,2016-04-06,2016
477,92,20170605,routine,2017-06-05,2017
477,88,20150302,routine,2015-03-02,2015
479,87,20160729,routine,2016-07-29,2016
480,86,20160427,routine,2016-04-27,2016
480,80,20171016,routine,2017-10-16,2017
483,96,20160505,routine,2016-05-05,2016
483,96,20171030,routine,2017-10-30,2017
484,91,20160711,routine,2016-07-11,2016
485,98,20150923,routine,2015-09-23,2015
485,96,20161207,routine,2016-12-07,2016
486,90,20150213,routine,2015-02-13,2015
486,93,20160805,routine,2016-08-05,2016
488,92,20180116,routine,2018-01-16,2018
488,89,20160525,routine,2016-05-25,2016
489,69,20160308,routine,2016-03-08,2016
489,75,20171130,routine,2017-11-30,2017
489,79,20160721,routine,2016-07-21,2016
489,72,20150728,routine,2015-07-28,2015
489,80,20161220,routine,2016-12-20,2016
494,74,20160512,routine,2016-05-12,2016
494,94,20170418,routine,2017-04-18,2017
496,92,20171016,routine,2017-10-16,2017
496,91,20160412,routine,2016-04-12,2016
500,86,20150930,routine,2015-09-30,2015
500,89,20161128,routine,2016-11-28,2016
502,100,20150327,routine,2015-03-27,2015
502,98,20161206,routine,2016-12-06,2016
502,94,20171129,routine,2017-11-29,2017
505,96,20150623,routine,2015-06-23,2015
505,90,20170207,routine,2017-02-07,2017
505,90,20160607,routine,2016-06-07,2016
507,86,20170823,routine,2017-08-23,2017
507,80,20160324,routine,2016-03-24,2016
507,98,20150223,routine,2015-02-23,2015
507,90,20161128,routine,2016-11-28,2016
509,79,20160222,routine,2016-02-22,2016
509,90,20160829,routine,2016-08-29,2016
510,87,20161109,routine,2016-11-09,2016
510,88,20170919,routine,2017-09-19,2017
510,88,20160523,routine,2016-05-23,2016
519,91,20171212,routine,2017-12-12,2017
519,85,20160809,routine,2016-08-09,2016
520,98,20160520,routine,2016-05-20,2016
522,92,20170922,routine,2017-09-22,2017
522,88,20170209,routine,2017-02-09,2017
522,94,20160706,routine,2016-07-06,2016
522,93,20151124,routine,2015-11-24,2015
522,96,20150630,routine,2015-06-30,2015
527,75,20170821,routine,2017-08-21,2017
527,84,20161005,routine,2016-10-05,2016
527,88,20151005,routine,2015-10-05,2015
529,90,20170328,routine,2017-03-28,2017
529,90,20160614,routine,2016-06-14,2016
