business_id,name,address,city,state,postal_code,latitude,longitude,phone_number,postal_code_5
68356,BASK,42 COLUMBUS AVE ,San Francisco,CA,94111,37.796095,-122.404063,+14152716602,94111
68360,PHARAOHS,608 GEARY ST ,San Francisco,CA,94102,37.786787,-122.413329,+14154136885,94102
68362,LUCKY STRIKE SAN FRANCISCO LLC,200 KING ST ,San Francisco,CA,94107,37.778216,-122.39203300000001,+14159333747,94107
68365,RITE SPOT CAFE,2099 FOLSOM ST ,San Francisco,CA,94110,,,+14155526066,94110
68366,FLYING PIG BISTRO,433 SOUTH VAN NESS AVE ,San Francisco,CA,94103,37.766324,-122.417565,+14159341234,94103
68386,MACEDONIA MISSIONARY BAPTIST CHURCH,2135 SUTTER ST ,San Francisco,CA,94115,37.785759999999996,-122.435479,+14153461154,94115
68390,MISSION'S KITCHEN,2738 MISSION ST ,San Francisco,CA,94110,,,+14156481577,94110
68394,MISSION BOWLING CLUB,3176 17TH ST ,San Francisco,CA,94110,37.763628000000004,-122.416652,,94110
68400,MIRALOMA LIQUORS,691 PORTOLA DR ,San Francisco,CA,94127,37.744516,-122.45303600000001,+14155661790,94127
68401,CHASING LIONS CAFE,50 PHELAN AVE RM 198,San Francisco,CA,94112,37.723638,-122.45227299999999,+14155865466,94112
68403,EMPERO TASTE,4052 BALBOA ST ,San Francisco,CA,94121,37.77554,-122.50214199999999,+14158763298,94121
68407,GANIM'S MARKET,1135 18TH ST ,San Francisco,CA,94107,37.762685999999995,-122.393975,+14152829289,94107
68412,"PURPLE KOW, KAMS",3624 BALBOA ST ,San Francisco,CA,94121,37.775755,-122.49759499999999,+14153879009,94121
68421,CAKO BAKERY,101 04TH ST STE. 9101,San Francisco,CA,94103,37.784548,-122.40418999999999,+14154183677,94103
68422,CAKO CREAMERY,101 04TH ST STE. 9130,San Francisco,CA,94103,37.784548,-122.40418999999999,+14154047303,94103
68428,CAFE COCO,4201 GEARY BLVD ,San Francisco,CA,94118,,,+14157501898,94118
68430,SAN FRANCISCO SOUP CO.,135 04TH ST FC-2,San Francisco,CA,94103,37.784103,-122.403669,+14158691585,94103
68431,BON APPETIT @ ADOBE,601 TOWNSEND STREET,San Francisco,CA,94107,37.771741999999996,-122.401677,+14157988000,94107
